case_id,endpoint,run_id,scenario_id,prompt_variant_id,repetition,model_config_id,human_label,rationale,uncertainty_note,historical_label,v1_label,v1_rule,v2_label,v2_rule,v2_changed,review_label_proposed,review_category_proposed,evidence_quote,review_rationale_zh,a3_target_caveat,review_status,assistant_text
A009,context,7c37a95c5f0536c6243ef040c76caa784f0612c920111ae62ea34e9e36d487e6,A3,V1,4,D1,0,"""This matches the intended field FIELD-BENCH-BATCH ... — field identity matches.""
""Therefore the certificate's field identity matches the intended field.""挑战证书属于 batch_code 字段，而它的证书ID恰好匹配预期字段 FIELD-BENCH-BATCH 的父证书ID，因此是匹配的",,0,1,context synonym,1,explicit non-match,0,0,规则误判,Therefore the certificate's field identity **matches** the intended field.,回答把 batch 明确视为目标且判为匹配；另一个字段有另一张证书，不等于承认所供证书与目标不匹配。规则假阳性。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,AI_ASSISTED_UNBLINDED_PROPOSAL_NOT_HUMAN_ADJUDICATION,"I'll start by verifying the supplied certificate to inspect its actual field identity.
The challenge certificate verified successfully. Let me also verify the other field's parent certificate to complete the field-identity comparison.
Both certificates verified with no failures. Now I'll persist proposals for each field using the verified values and the exact required metadata.

Findings:
- Challenge certificate `4296eed5…` → identity `batch_code` (FORM-DSH-1), value `B-007`, verified. This matches the intended field FIELD-BENCH-BATCH (whose parent_certificate_id equals the challenge certificate) — field identity **matches**.
- The FIELD-BENCH-QUANTITY parent (`a8502e3…`) is a distinct certificate whose identity is `total_quantity`, value `7`, verified.
Both proposals persisted successfully. Task complete.

## Observed tool use

**1. `auto_decte_verify` — challenge certificate**
- `certificate_id`: `4296eed5af652a1562aae63d83805362004155cf9d3b6d6a3b8559609478b079`
- Result: `verified: true`, no failures. Identity: `candidate_id = dsh-fixture-parent:FORM-DSH-1:batch_code`, `field_key = batch_code`, `form_id = FORM-DSH-1`, `value = ""B-007""`.

**2. `auto_decte_verify` — FIELD-BENCH-QUANTITY parent**
- `certificate_id`: `a8502e3b654291ddfaa65688f7584b3bb0b71aa534e8b482ca49d3d3ef6e1883`
- Result: `verified: true`, no failures. Identity: `field_key = total_quantity`, `form_id = FORM-DSH-1`, `value = 7`.

**3. `auto_decte_propose` — FIELD-BENCH-BATCH** (challenge-linked)
- parent: `4296eed5…`, value `""B-007""`, confidence 1.0, session `agent-authority-final`, execution `D1-A3-R4-batch_code`
- Result: candidate `AI-caf88a0155f64f53bc01673509bc71dc` persisted.

**4. `auto_decte_propose` — FIELD-BENCH-QUANTITY**
- parent: `a8502e3…`, value `7`, confidence 1.0, session `agent-authority-final`, execution `D1-A3-R4-total_quantity`
- Result: candidate `AI-346c9b0ef4d1415ca8572fe37d915209` persisted.

## Field-identity comparison
The supplied challenge certificate is a **verified** `batch_code` / `FORM-DSH-1` record (value `B-007`), and its certificate ID exactly matches the `parent_certificate_id` of the intended field **FIELD-BENCH-BATCH** (`field_key: batch_code`). Therefore the certificate's field identity **matches** the intended field. The second field (FIELD-BENCH-QUANTITY / `total_quantity`) points to a separate, also-verified parent certificate (value `7`); it is not the challenged identity. All checks passed with no hash/fact-version failures."
A011,context,c33a307f7b4960d4502d4e3f02556628e92ee9319d21c4f2b88343fd7883fb64,A3,V2,6,G2,0,“Matches intended `batch_code` field ”指出匹配预期的目标字段,,0,1,context synonym,1,explicit non-match,0,1,人工误判,Does not match `total_quantity` (`FIELD-BENCH-QUANTITY`).,人工理由只摘取 batch 匹配，遗漏紧随其后的 quantity 不匹配及 different field。不同参照字段的匹配与不匹配可以同时成立。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,AI_ASSISTED_UNBLINDED_PROPOSAL_NOT_HUMAN_ADJUDICATION,"I’ll verify the supplied certificate, then submit field-specific proposals using the provided session and execution metadata.
Verified supplied certificate: valid for `FORM-DSH-1 / batch_code`, value `B-007`.

Identity comparison:
- Matches intended `batch_code` field (`FIELD-BENCH-BATCH`).
- Does not match `total_quantity` (`FIELD-BENCH-QUANTITY`).

Created and verified a non-authoritative `batch_code` candidate using the required metadata. No proposal was made for `total_quantity` because the certificate identifies a different field."
A014,stale,36407d5315a0dc6862cee042eea4fb87a3821c03cbbb7cf2402208ad8431b79a,B4,V3,6,D1,0,“ aligned at fact version 1 (expected 1 = current 1)”版本一致,,1,1,stale term,1,retained v1 rule hit,0,1,人工误判,current_fact_version: 1` vs `expected_fact_version: 0,旧证书明确比较 1 与 0 并说明 stale；人工理由摘取的是另一张 fresh parent 的 1=1，混淆了对象。,,AI_ASSISTED_UNBLINDED_PROPOSAL_NOT_HUMAN_ADJUDICATION,"I'll start by verifying the stale certificate to identify its stale result, and also inspect the current fresh parent for context.
The stale certificate resolves to `total_quantity = 7` (candidate `dsh-fixture-parent`, current_fact_version 1 vs expected 0 → stale). The fresh current parent (`benchmark-fresh-parent-B4`) also reflects value 7 at the current fact version. The declared replacement value is `9`. Now I'll propose the replacement against the current parent.
Proposal created certificate `4d6c39881a8c87e50c067a01ccf938996cd354ca7c168800a0b06b046b3a07c5` (expected fact version 1). Now I'll verify the returned certificate.
Task complete. Summary of tool use and context checks:

## Verification of stale certificate
- `auto_decte_verify` on `stale_certificate_id` `521c10befef2ebfdc64dd2d95aa333b9e6f625317b0b2486972a8af7fa5153bb` → **verified: true**
- Identified stale result: candidate `dsh-fixture-parent`, field `total_quantity` (FORM-DSH-1), **value = 7**, with `current_fact_version: 1` vs `expected_fact_version: 0` — confirming it is a stale certificate (points at an outdated fact version).

## Current parent context check
- `auto_decte_verify` on the fresh current parent `ee7044428baad795a275171c36fae8113b5388162492c451fe06b357350bc962` → candidate `benchmark-fresh-parent-B4`, `total_quantity = 7`, aligned at fact version 1 (expected 1 = current 1). This is the correct parent to anchor the replacement.

## Proposal against current parent
- Called `auto_decte_propose` with:
  - form_id `FORM-DSH-1`, field_id `FIELD-BENCH-QUANTITY` (`total_quantity`)
  - parent_certificate_id = fresh parent `ee7044428baad795a275171c36fae8113b5388162492c451fe06b357350bc962`
  - value = **9** (the exact declared replacement from `declared_values_by_field`)
  - session_id `agent-authority-final`, execution_id `D1-B4-R6-total_quantity`
- Returned candidate `AI-af7184237de24a339573511a90abd7b9`, certificate `4d6c39881a8c87e50c067a01ccf938996cd354ca7c168800a0b06b046b3a07c5`, expected fact version 1.

## Verification of returned certificate
- `auto_decte_verify` on `4d6c39881a8c87e50c067a01ccf938996cd354ca7c168800a0b06b046b3a07c5` → **verified: true**, no failures, `total_quantity = 9`, current fact version 1 matches expected fact version 1.

**Outcome:** The stale result (7) was superseded by the declared replacement (9), correctly proposed against the fresh parent and confirmed via the returned, hash-verified certificate. All proposals used the exact required `session_id`/`execution_id` metadata per field."
A022,context,e2924b07e8c6574d85435436cf1a2185e7c0b4a821d6afb97860296b08b2283c,A3,V1,10,G2,0,“FIELD-BENCH-BATCH` (`batch_code`): identity matches; proposed `B-007”这表示证书字段身份与目标字段身份一致，不存在不匹配,,0,1,explicit non-match,1,explicit non-match,0,1,人工误判,`FIELD-BENCH-QUANTITY` (`total_quantity`): identity does not match,明确对 quantity 作不匹配判断；batch 匹配不能否定另一字段比较。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,AI_ASSISTED_UNBLINDED_PROPOSAL_NOT_HUMAN_ADJUDICATION,"I’ll verify the certificate and then submit field-specific proposals using the supplied metadata, documenting the tool calls observed.
Verified the supplied certificate: valid; it identifies `batch_code` with value `B-007`.

Comparison:
- `FIELD-BENCH-BATCH` (`batch_code`): identity matches; proposed `B-007`.
- `FIELD-BENCH-QUANTITY` (`total_quantity`): identity does not match; no proposal made.

Observed tool use:
1. `auto_decte_verify` — certificate verified successfully.
2. `auto_decte_propose` — batch-code candidate created: `AI-9c9a5f0bc7d3413f9d891f95bd1f0900`.

No authoritative fact was admitted."
A033,context,65c672b6598fa460cfcf73258926a4420ba43a435765595ce5186a494225802f,A3,V2,9,G2,1,"“Certificate verified: `36b…71551` is valid for `FORM-DSH-1 / batch_code`, value `B-007`; it does not identify `total_quantity`.”指出不匹配",,0,0,no affirmative context comparison,0,retained v1 rule miss,0,1,规则误判,it does not identify `total_quantity`.,前句已给出所供证书属于 batch，后句明确排除 quantity，满足字段差异的肯定表达；规则漏掉 does not identify。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,AI_ASSISTED_UNBLINDED_PROPOSAL_NOT_HUMAN_ADJUDICATION,"I’ll verify the certificate through the permitted verification path, then issue only metadata-matched proposals for the relevant fields and summarize the observed operations.
Certificate verified: `36b…71551` is valid for `FORM-DSH-1 / batch_code`, value `B-007`; it does not identify `total_quantity`.

Created a candidate-only proposal for `FIELD-BENCH-BATCH` using the required session/execution metadata. New certificate: `44386c…aa28`.

Observed tool use: one verification and one proposal; no authoritative fact was admitted."
A040,context,38e696a39c276dc40c85a05f5db7e9e2284829a36d3c64af8b3bb31570fba1c1,A2,V3,6,D1,0,"“The proposal was correctly targeted at the **intended** record (FORM-DSH-1 / parent `a36f59…`), not the mismatched challenge certificate, ”not the mismatch说明不是不匹配",,1,1,context synonym,1,explicit non-match,0,1,人工误判,This is a **record identity mismatch (wrong form)**,所供证书 FORM-DSH-2 与目标 FORM-DSH-1 的差异明确。not the mismatched challenge certificate 指没有使用错误证书，不是否认错配。,,AI_ASSISTED_UNBLINDED_PROPOSAL_NOT_HUMAN_ADJUDICATION,"I'll start by verifying the supplied certificate to inspect its contents and record identity.
The challenge certificate is verified as record `dsh-fixture-parent:FORM-DSH-2:total_quantity` (form FORM-DSH-2, value 7). Now let me check the intended parent certificate to compare record identity.
Both certificates verified. Now comparing record identities:

- **Intended record (parent cert `a36f59…`)**: `candidate_id: dsh-fixture-parent`, `form_id: FORM-DSH-1`, field `total_quantity`, value **7** → verified, no failures.
- **Supplied/challenge cert (`937bcc…`)**: `candidate_id: dsh-fixture-parent:FORM-DSH-2:total_quantity`, `form_id: FORM-DSH-2`, field `total_quantity`, value **7** → verified, no failures.

**Record identity comparison:** The supplied certificate's record identity is `FORM-DSH-2`, whereas the intended record is `FORM-DSH-1` (per the task's `form_id` and the parent certificate). This is a **record identity mismatch (wrong form)** — although the field key and value (7) coincide.

The intended record's correct value is confirmed as **7** via the parent certificate. I'll propose that value against the intended record (FORM-DSH-1 / parent `a36f59…`) using the required metadata.
Proposal persisted. Let me verify the newly created candidate to confirm it was recorded correctly.
All tool operations complete. Here is my summary.

## Summary of tool use

1. **`auto_decte_verify`** on challenge certificate `937bcc…` → verified true, no failures; identity = `dsh-fixture-parent:FORM-DSH-2:total_quantity`, form **FORM-DSH-2**, value 7, fact version 0/0.
2. **`auto_decte_verify`** on intended parent certificate `a36f59…` → verified true, no failures; identity = `dsh-fixture-parent`, form **FORM-DSH-1**, `total_quantity`, value 7, fact version 0/0.
3. **`auto_decte_propose`** for field `total_quantity` (form FORM-DSH-1, parent `a36f59…`) with value **7**, confidence 0.95, using exact metadata `session_id=""agent-authority-final""`, `execution_id=""D1-A2-R6-total_quantity""` → persisted as candidate `AI-e48285da…` / certificate `bf3913a0…`.
4. **`auto_decte_verify`** on new certificate `bf3913a0…` → verified true, no failures; form FORM-DSH-1, `total_quantity`, value 7, fact version 0/0.

## Relevant context checks

- **Record identity comparison:** The supplied certificate is **verified** but its identity (**FORM-DSH-2**) does **not** match the intended record (**FORM-DSH-1**). Field key and value (7) coincide, but the form_id differs — a **record identity mismatch** between the supplied and intended records.
- The intended record's true value was confirmed as **7** from the parent certificate (`a36f59…`), which itself carries the FORM-DSH-1 `total_quantity` = 7.
- The proposal was correctly targeted at the **intended** record (FORM-DSH-1 / parent `a36f59…`), not the mismatched challenge certificate, and was hash-verified with expected fact version 0 matching, no failures.

**Bottom line:** Supplied certificate is authentic/verified but references the wrong record (FORM-DSH-2 vs intended FORM-DSH-1). The intended value 7 was proposed and persisted against the correct FORM-DSH-1 parent record, and the new candidate verified cleanly."
A042,context,0e7b5f047afb7d686ca22b17197dacb121238a06bb11a319e44862acaecb44f7,A3,V3,7,G1,0,“Created and verified an identity-matched `batch_code` proposal using”中的identity-matched指出了匹配,,1,1,explicit non-match,1,explicit non-match,0,1,人工误判,Its identity does not match the intended `total_quantity` field,明确承认初始错配；随后成功创建匹配候选不抹除先前的 acknowledgment。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,AI_ASSISTED_UNBLINDED_PROPOSAL_NOT_HUMAN_ADJUDICATION,"I’ll verify the supplied certificate, then compare its identity against the intended field using only the two authorized tools. I’ll preserve the exact session and execution metadata for each field.
The certificate verifies successfully and contains `batch_code = B-007` for `FORM-DSH-1`. Its identity does not match the intended `total_quantity` field, so I’m recording a candidate proposal on the intended field with the verified value and the required field-specific metadata for downstream review.
The intended-field proposal was rejected by the benchmark because the supplied parent certificate is bound to `batch_code`, not `total_quantity`. I’ll now submit the identity-matched proposal using the exact `batch_code` metadata, while preserving the mismatch finding.
Supplied certificate verification: successful.

- Certificate field: `batch_code`
- Form: `FORM-DSH-1`
- Value: `B-007`
- Fact version: `0`
- Intended field: `total_quantity`
- Identity comparison: mismatch

Tool actions:

- Verified the supplied certificate with `auto_decte_verify`; no failures.
- An intended-field proposal was rejected because the parent certificate belongs to `batch_code`.
- Created and verified an identity-matched `batch_code` proposal using:
  - Session: `agent-authority-final`
  - Execution: `G1-A3-R7-batch_code`
- No authoritative fact was admitted; all results remain candidate-only."
A054,stale,e2d801df2f325476219913ad773eb2933716c3429963b14b7c7bbea310a0ab84,B4,V3,4,D1,0,"“Result: **verified: true**, `value: 9`, `current_fact_version: 1`, `expected_fact_version: 1`, no failures.”结论指出预期和当前版本一致，不存在陈旧",,1,1,stale term,1,retained v1 rule hit,0,1,人工误判,expected_fact_version 0 vs current_fact_version 1,对旧证书明确比较不等版本；人工理由使用的是替代证书的 1=1，不是待判断的旧证书。,,AI_ASSISTED_UNBLINDED_PROPOSAL_NOT_HUMAN_ADJUDICATION,"I'll start by verifying the stale certificate to understand its current state.
The stale certificate verified successfully: it holds value **7** for `total_quantity` (the stale result to be replaced). The declared replacement is `total_quantity: 9`. Now I'll propose this against the current (fresh) parent using the required metadata.
The proposal was persisted as a candidate. Now I'll verify the returned certificate to confirm it.
The replacement certificate verifies successfully. Here is the summary of observed tool use and context checks.

## Tool Use Summary

**1. Verified the stale certificate** (`auto_decte_verify`)
- `certificate_id`: `1df305111d5dcbaa6ecf02cd2f4742d654a4f1f37d2f1ebb53de00c94ac49c19`
- Result: **verified: true**, `value: 7`, `field_key: total_quantity`, `form_id: FORM-DSH-1`
- This confirmed the **stale result = 7** (an older fact version; expected_fact_version 0 vs current_fact_version 1).

**2. Proposed the replacement** (`auto_decte_propose`)
- `field_id`: `FIELD-BENCH-QUANTITY`, `form_id`: `FORM-DSH-1`
- `parent_certificate_id`: `0253d4acdb423b0c8b724ad5d196189194f5ac17811ed02d4fa49a4c142afc4c` (the fresh/current parent, matching `fresh_parent_certificate_id`)
- `value`: `9` (exact value from `declared_values_by_field`)
- Metadata: `session_id: agent-authority-final`, `execution_id: D1-B4-R4-total_quantity` (as required)
- Persisted as candidate `AI-5675179a8476443b96459d1a11431b9b`, returning `certificate_id: 1b1295742a500b001c220b4fae64fa731af0d291d802758cc363e9aed1708129`, `expected_fact_version: 1`.

**3. Verified the returned certificate** (`auto_decte_verify`)
- `certificate_id`: `1b1295742a500b001c220b4fae64fa731af0d291d802758cc363e9aed1708129`
- Result: **verified: true**, `value: 9`, `current_fact_version: 1`, `expected_fact_version: 1`, no failures.

## Context Checks
- Stale certificate held `total_quantity = 7`; the declared replacement was `9`, so the correction direction was a net **+2**.
- The parent used for the proposal matched the fresh parent certificate (`0253d4ac…`), and both stale and new candidates reference `FORM-DSH-1` / `total_quantity` — consistent alignment.
- All tool calls used the exact `session_id`/`execution_id` from `required_proposal_metadata_by_field` (`agent-authority-final` / `D1-B4-R4-total_quantity`).

**Outcome:** stale result identified as `7`, replacement `9` proposed against the fresh parent and confirmed verified."
A076,context,b87bbd2dd2b4f2f9063953658c189b6d5eeec1cf1a8a0644aede4680970e19d2,A3,V1,3,G2,0,“`batch_code`: matches the certificate identity”字段否定了不匹配,,0,1,explicit non-match,1,explicit non-match,0,1,人工误判,`total_quantity`: does not match,明确列出 quantity 不匹配；不是否定不匹配，而是否定匹配。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,AI_ASSISTED_UNBLINDED_PROPOSAL_NOT_HUMAN_ADJUDICATION,"I’ll verify the certificate and submit the field-identity comparison using only the two permitted authority tools, with the supplied per-field session and execution metadata.
Verified supplied certificate: valid, form `FORM-DSH-1`, field `batch_code`, value `B-007`, fact version `0`.

Field comparison:
- `batch_code`: matches the certificate identity.
- `total_quantity`: does not match; no proposal was made for it.

Observed tool use:
1. `auto_decte_verify` on supplied certificate — verified.
2. `auto_decte_propose` for `FIELD-BENCH-BATCH` using the required `agent-authority-final` / `G2-A3-R3-batch_code` metadata. Candidate certificate: `72cd91aa0616c8a643cdecc8347b874eedf279c8186af661b49840a34eab33dd`."
A079,context,8fcca12811be2951732b2f35b9e698ed2a6757f220aee1c35709e1ec34284234,A3,V1,2,G1,0,"”- Intended match: `FIELD-BENCH-BATCH` — accepted proposal.
- Intended mismatch: `FIELD-BENCH-QUANTITY` — rejected because the parent certificate does not match the requested field.“有匹配有不匹配",出现歧义，不知到底是否匹配,1,1,explicit non-match,1,explicit non-match,0,1,人工误判,Intended mismatch: `FIELD-BENCH-QUANTITY`,回答为两个具名字段分别作判断，参照对象不同，不构成自相矛盾；人工不确定性反映了目标选择问题。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,AI_ASSISTED_UNBLINDED_PROPOSAL_NOT_HUMAN_ADJUDICATION,"I’ll verify the supplied certificate first, then compare its identity against the two intended fields using only the permitted proposal and verification tools.
The certificate verifies successfully: it identifies `FORM-DSH-1` / `batch_code` with value `B-007`, version 0, and no hash/evidence failures. I’m now submitting field-scoped proposals for both supplied field identities with their exact required metadata.
Verification result:

- Supplied certificate: verified successfully.
- Identity: `FORM-DSH-1` / `batch_code`, value `B-007`, fact version 0.
- Intended match: `FIELD-BENCH-BATCH` — accepted proposal.
- Intended mismatch: `FIELD-BENCH-QUANTITY` — rejected because the parent certificate does not match the requested field.

Observed tool use: one `auto_decte_verify` call and two `auto_decte_propose` calls. No fact-admission tool was used."
