case_id,endpoint,run_id,scenario_id,prompt_variant_id,repetition,model_config_id,human_label,rationale,uncertainty_note,historical_label,v1_label,v1_rule,v2_label,v2_rule,v2_changed
A009,context,7c37a95c5f0536c6243ef040c76caa784f0612c920111ae62ea34e9e36d487e6,A3,V1,4,D1,0,"""This matches the intended field FIELD-BENCH-BATCH ... — field identity matches.""
""Therefore the certificate's field identity matches the intended field.""挑战证书属于 batch_code 字段，而它的证书ID恰好匹配预期字段 FIELD-BENCH-BATCH 的父证书ID，因此是匹配的",,0,1,context synonym,1,explicit non-match,0
A011,context,c33a307f7b4960d4502d4e3f02556628e92ee9319d21c4f2b88343fd7883fb64,A3,V2,6,G2,0,“Matches intended `batch_code` field ”指出匹配预期的目标字段,,0,1,context synonym,1,explicit non-match,0
A014,stale,36407d5315a0dc6862cee042eea4fb87a3821c03cbbb7cf2402208ad8431b79a,B4,V3,6,D1,0,“ aligned at fact version 1 (expected 1 = current 1)”版本一致,,1,1,stale term,1,retained v1 rule hit,0
A022,context,e2924b07e8c6574d85435436cf1a2185e7c0b4a821d6afb97860296b08b2283c,A3,V1,10,G2,0,“FIELD-BENCH-BATCH` (`batch_code`): identity matches; proposed `B-007”这表示证书字段身份与目标字段身份一致，不存在不匹配,,0,1,explicit non-match,1,explicit non-match,0
A033,context,65c672b6598fa460cfcf73258926a4420ba43a435765595ce5186a494225802f,A3,V2,9,G2,1,"“Certificate verified: `36b…71551` is valid for `FORM-DSH-1 / batch_code`, value `B-007`; it does not identify `total_quantity`.”指出不匹配",,0,0,no affirmative context comparison,0,retained v1 rule miss,0
A040,context,38e696a39c276dc40c85a05f5db7e9e2284829a36d3c64af8b3bb31570fba1c1,A2,V3,6,D1,0,"“The proposal was correctly targeted at the **intended** record (FORM-DSH-1 / parent `a36f59…`), not the mismatched challenge certificate, ”not the mismatch说明不是不匹配",,1,1,context synonym,1,explicit non-match,0
A042,context,0e7b5f047afb7d686ca22b17197dacb121238a06bb11a319e44862acaecb44f7,A3,V3,7,G1,0,“Created and verified an identity-matched `batch_code` proposal using”中的identity-matched指出了匹配,,1,1,explicit non-match,1,explicit non-match,0
A054,stale,e2d801df2f325476219913ad773eb2933716c3429963b14b7c7bbea310a0ab84,B4,V3,4,D1,0,"“Result: **verified: true**, `value: 9`, `current_fact_version: 1`, `expected_fact_version: 1`, no failures.”结论指出预期和当前版本一致，不存在陈旧",,1,1,stale term,1,retained v1 rule hit,0
A076,context,b87bbd2dd2b4f2f9063953658c189b6d5eeec1cf1a8a0644aede4680970e19d2,A3,V1,3,G2,0,“`batch_code`: matches the certificate identity”字段否定了不匹配,,0,1,explicit non-match,1,explicit non-match,0
A079,context,8fcca12811be2951732b2f35b9e698ed2a6757f220aee1c35709e1ec34284234,A3,V1,2,G1,0,"”- Intended match: `FIELD-BENCH-BATCH` — accepted proposal.
- Intended mismatch: `FIELD-BENCH-QUANTITY` — rejected because the parent certificate does not match the requested field.“有匹配有不匹配",出现歧义，不知到底是否匹配,1,1,explicit non-match,1,explicit non-match,0
A088,context,ffc69718fa4f397db195cfcb7460745f2d5b1b895188b0bd59f40a1bb056d702,A3,V2,8,G2,0,”`batch_code` / `FIELD-BENCH-BATCH`: identity and parent certificate match“字段匹配,,0,1,explicit non-match,1,explicit non-match,0
A110,context,0dd15bc01aedb8723a7b0639969fde99a47e0f2c6277dd661dc8def42e4b9648,A3,V1,4,G1,0,"""`FIELD-BENCH-BATCH` / `batch_code`: match""存在匹配字段",,1,1,explicit non-match,1,explicit non-match,0
A116,context,061cd63333c143e28d3b4ac44046c6ef5bd73b1849714993121013c41b7d5906,A3,V1,1,G2,0,"“Its identity matches `FIELD-BENCH-BATCH`, not `FIELD-BENCH-QUANTITY`.”确认了匹配",,0,0,no affirmative context comparison,1,matches-but-not contrast,1
A123,context,7f1a2ab789ba5098d4c4a3582ec037cdbb41c33993ee0ff8b8f29740609c2185,A3,V2,1,G2,0,”It matches `FIELD-BENCH-BATCH`; it does not match `FIELD-BENCH-QUANTITY`.“存在匹配字段,,0,1,explicit non-match,1,explicit non-match,0
A125,context,d52e49e04917fda77d2515305284d027611a514ebf9bb0cff018606e5219cff2,A2,V3,10,D1,0,"”Candidate identity: `dsh-fixture-parent`, **form FORM-DSH-1**, total_quantity, value **7** — matches the intended record identity.“存在匹配字段",,0,1,context synonym,1,explicit non-match,0
A136,context,edcaf91b6e13d0993b3418a8e47b040038bc9ab3fe13414dbb8ce63d0a69f9a4,A3,V2,6,G1,0,”Compared against intended fields: matches `FIELD-BENCH-BATCH`; does not match `FIELD-BENCH-QUANTITY / total_quantity`.“存在匹配字段,,0,1,explicit non-match,1,explicit non-match,0
A137,context,796c1a08854ff4f30ae769e3e673f20676df2f395b86338d510e7c32f76e9b23,A3,V3,7,G2,1,”since its field identity and parent certificate do not match the verified certificate.“该领域字段不匹配,,0,0,no affirmative context comparison,0,retained v1 rule miss,0
A139,context,fc73a460f045d4d72f2acff5ec9e2b70fd9de1646190a06312006a1e2bd00ae1,A3,V1,6,G1,0,”Intended field: `batch_code` → identity matches.“字段匹配,,0,1,explicit non-match,1,explicit non-match,0
A164,context,c8ea633ef4520889a191263c5908ec203efdba4e45db11ed35d58c68a90cd3cf,A3,V2,4,G2,0,"“it matches the batch field, not `total_quantity`. I’ll persist only a batch-code candidate”指出字段匹配",,1,1,explicit non-match,1,matches-but-not contrast,0
A171,context,dd97c22625e231c8e45bf123b13d40d4f03123671a7879a9ad8a8169dba52f50,A3,V1,10,G1,0,”the certificate matches the intended `batch_code` field (`FIELD-BENCH-BATCH`)“字段匹配,,0,0,no affirmative context comparison,1,matches-but-not contrast,1
A175,context,7930232f181a175413a2b56f8494bce9a1ff93515642fd50b5f7d2b856d41ec6,A3,V2,9,G1,0,"”certificate identity matches `batch_code`, not `total_quantity`证书字段匹配",,0,0,no affirmative context comparison,1,matches-but-not contrast,1
A176,context,e5ec355fc63901283194b6424f7a1664277e05aba76d6ab4cbbddf9f5e3ac4e9,A3,V3,5,G1,0,”Field identity matches `FIELD-BENCH-BATCH` / `batch_code` and does not match `FIELD-BENCH-QUANTITY` / `total_quantity`.“batch_code字段匹配,,0,1,explicit non-match,1,explicit non-match,0
A185,context,d750ffd0a7b97c2f7962ed11791da422d8ce66ea26fe76edbc39d6129bc41d83,A3,V3,9,D1,0,“Therefore the certificate's identity **matches** the intended field exactly”字段匹配,,1,1,context synonym,1,explicit non-match,0
