case_id,scenario_id,model_config_id,prompt_variant_id,repetition,evaluable,rule_label,A1_label,A2_label,adjudicated_label
T001,B4,G2,V1,1,0,,1,1,1
T002,B2,D1,V2,7,1,1,1,1,1
T003,B1,D1,V1,1,1,1,1,1,1
T004,B2,D1,V3,2,1,1,1,1,1
T005,B3,G1,V2,4,1,1,1,1,1
T006,B4,G1,V1,1,1,1,1,1,1
T007,B1,D1,V3,7,1,1,1,1,1
T008,B4,D1,V1,8,1,1,1,1,1
T009,B4,D1,V2,5,1,1,1,1,1
T010,B1,G2,V2,5,1,1,1,1,1
T011,B1,G2,V3,10,1,1,1,1,1
T012,B4,G1,V2,5,1,1,1,1,1
T013,B4,G2,V3,4,1,1,1,1,1
T014,B2,G2,V3,7,1,0,1,1,0
T015,B4,G2,V1,9,1,1,1,1,1
T016,B4,G2,V1,7,1,1,1,1,1
T017,B3,G1,V2,5,1,1,1,1,1
T018,B1,D1,V3,6,0,,9,9,9
T019,B1,G1,V3,8,1,1,1,1,1
T020,B4,D1,V3,3,1,1,1,1,1
T021,B1,G2,V2,1,1,1,1,1,1
T022,B1,G1,V3,3,1,1,1,1,1
T023,B4,D1,V1,1,1,1,1,1,1
T024,B3,G1,V1,5,1,1,1,1,1
T025,B3,G2,V1,5,1,1,1,1,1
T026,B2,D1,V2,3,1,1,1,1,1
T027,B3,G1,V1,10,1,1,1,1,1
T028,B2,G2,V1,7,1,1,1,1,1
T029,B3,D1,V2,2,1,1,1,1,1
T030,B3,G2,V3,6,1,1,1,1,1
T031,B2,G1,V1,6,1,1,1,1,1
T032,B1,D1,V3,10,1,1,1,1,1
T033,B1,D1,V3,3,1,1,1,1,1
T034,B4,G2,V3,10,1,1,1,1,1
T035,B4,D1,V2,2,1,1,1,1,1
T036,B1,D1,V3,4,1,1,1,1,1
T037,B2,D1,V3,9,1,1,1,1,1
T038,B3,D1,V2,3,0,,9,9,9
T039,B1,G1,V3,7,1,1,1,1,1
T040,B1,G1,V2,10,1,1,1,1,1
T041,B3,D1,V1,2,1,1,1,1,1
T042,B1,G2,V2,10,1,1,1,1,1
