profile	command	expected	class
S1	StateInvariantPreserved	UNSAT	preservation
S1	P0NoMachineAuthoritativeWrite	UNSAT	regression
S1	P1ExactContext	UNSAT	regression
S1	P3AuthorizationIntegrity	UNSAT	regression
S1	P4Freshness	UNSAT	regression
S1	P5TransitionBijection	UNSAT	regression
S1	FullNoPartialItemEffects	UNSAT	preservation
S1	RejectionHasNoEffect	UNSAT	preservation
S1	SingletonContractEquivalence	UNSAT	regression
S1	SingletonEffectEquivalence	UNSAT	regression
S1	FullRejectsAblatedAttempt	UNSAT	regression
S1	P6MissingAnchorIncomplete	UNSAT	regression
S1	P6DuplicateSourceVersionIncomplete	UNSAT	regression
S1	LegalAdmissionTraceCompleteUnderWellFormedPre	UNSAT	preservation
S1	SAT_BATCH_accept_multi	SAT	legal-witness
S1	SAT_BATCH_correction_multi	SAT	legal-witness
S1	SAT_BATCH_mixed_accept_correction	SAT	legal-witness
S1	SAT_BATCH_same_value_multi	SAT	legal-witness
S1	SAT_BATCH_initial_snapshot	SAT	legal-witness
S1	SAT_BATCH_singleton	SAT	legal-witness
S1	SAT_TRACE_wellformed_pre_initial	SAT	trace-witness
S1	SAT_TRACE_wellformed_pre_carryforward	SAT	trace-witness
S1	SAT_ABL_1_effective_pair	SAT	ablation-witness
S1	SAT_ABL_2a_effective_pair	SAT	ablation-witness
S1	SAT_ABL_2b_effective_pair	SAT	ablation-witness
S1	SAT_ABL_3_effective_pair	SAT	ablation-witness
S1	SAT_ABL_4a_effective_pair	SAT	ablation-witness
S1	SAT_ABL_4b_effective_pair	SAT	ablation-witness
S1	SAT_ABL_5_effective_pair	SAT	ablation-witness
S1	SAT_ABL_6_effective_pair	SAT	ablation-witness
S1	SAT_ABL_8_effective_pair	SAT	ablation-witness
S1	SAT_ABL_9_effective_pair	SAT	ablation-witness
S1	SAT_ABL_10_effective_pair	SAT	ablation-witness
S1	SAT_P6_legal_anchor_loss	SAT	attack-witness
S1	SAT_P6_legal_anchor_replacement	SAT	attack-witness
S1	SAT_P6_legal_source_version_duplicate	SAT	attack-witness
S2	StateInvariantPreserved	UNSAT	preservation
S2	P0NoMachineAuthoritativeWrite	UNSAT	regression
S2	P1ExactContext	UNSAT	regression
S2	P3AuthorizationIntegrity	UNSAT	regression
S2	P4Freshness	UNSAT	regression
S2	P5TransitionBijection	UNSAT	regression
S2	FullNoPartialItemEffects	UNSAT	preservation
S2	RejectionHasNoEffect	UNSAT	preservation
S2	SingletonContractEquivalence	UNSAT	regression
S2	SingletonEffectEquivalence	UNSAT	regression
S2	FullRejectsAblatedAttempt	UNSAT	regression
S2	P6MissingAnchorIncomplete	UNSAT	regression
S2	P6DuplicateSourceVersionIncomplete	UNSAT	regression
S2	LegalAdmissionTraceCompleteUnderWellFormedPre	UNSAT	preservation
S2	SAT_BATCH_accept_multi	SAT	legal-witness
S2	SAT_BATCH_correction_multi	SAT	legal-witness
S2	SAT_BATCH_mixed_accept_correction	SAT	legal-witness
S2	SAT_BATCH_same_value_multi	SAT	legal-witness
S2	SAT_BATCH_initial_snapshot	SAT	legal-witness
S2	SAT_BATCH_singleton	SAT	legal-witness
S2	SAT_TRACE_wellformed_pre_initial	SAT	trace-witness
S2	SAT_TRACE_wellformed_pre_carryforward	SAT	trace-witness
S2	SAT_ABL_1_effective_pair	SAT	ablation-witness
S2	SAT_ABL_2a_effective_pair	SAT	ablation-witness
S2	SAT_ABL_2b_effective_pair	SAT	ablation-witness
S2	SAT_ABL_3_effective_pair	SAT	ablation-witness
S2	SAT_ABL_4a_effective_pair	SAT	ablation-witness
S2	SAT_ABL_4b_effective_pair	SAT	ablation-witness
S2	SAT_ABL_5_effective_pair	SAT	ablation-witness
S2	SAT_ABL_6_effective_pair	SAT	ablation-witness
S2	SAT_ABL_8_effective_pair	SAT	ablation-witness
S2	SAT_ABL_9_effective_pair	SAT	ablation-witness
S2	SAT_ABL_10_effective_pair	SAT	ablation-witness
S2	SAT_P6_legal_anchor_loss	SAT	attack-witness
S2	SAT_P6_legal_anchor_replacement	SAT	attack-witness
S2	SAT_P6_legal_source_version_duplicate	SAT	attack-witness
