"profile"	"command"	"class"	"expected"	"actual"	"status"	"wall_ms"	"model"
"S1"	"StateInvariantPreserved"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"3973"	"auto_decte_batch.als"
"S1"	"P0NoMachineAuthoritativeWrite"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2583"	"auto_decte_batch.als"
"S1"	"P1ExactContext"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"3174"	"auto_decte_batch.als"
"S1"	"P3AuthorizationIntegrity"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2816"	"auto_decte_batch.als"
"S1"	"P4Freshness"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2575"	"auto_decte_batch.als"
"S1"	"P5TransitionBijection"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2500"	"auto_decte_batch.als"
"S1"	"FullNoPartialItemEffects"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"3207"	"auto_decte_batch.als"
"S1"	"RejectionHasNoEffect"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"2382"	"auto_decte_batch.als"
"S1"	"SingletonContractEquivalence"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2797"	"auto_decte_batch.als"
"S1"	"SingletonEffectEquivalence"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"3106"	"auto_decte_batch.als"
"S1"	"FullRejectsAblatedAttempt"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"4162"	"auto_decte_batch.als"
"S1"	"P6MissingAnchorIncomplete"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2571"	"auto_decte_batch.als"
"S1"	"P6DuplicateSourceVersionIncomplete"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2564"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_accept_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3300"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_correction_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3405"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_mixed_accept_correction"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3373"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_same_value_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3291"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_initial_snapshot"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3266"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_singleton"	"legal-witness"	"SAT"	"SAT"	"PASS"	"3023"	"auto_decte_batch.als"
"S1"	"SAT_ABL_1_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3458"	"auto_decte_batch.als"
"S1"	"SAT_ABL_2a_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3654"	"auto_decte_batch.als"
"S1"	"SAT_ABL_2b_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3602"	"auto_decte_batch.als"
"S1"	"SAT_ABL_3_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3699"	"auto_decte_batch.als"
"S1"	"SAT_ABL_4a_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3552"	"auto_decte_batch.als"
"S1"	"SAT_ABL_4b_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3665"	"auto_decte_batch.als"
"S1"	"SAT_ABL_5_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3451"	"auto_decte_batch.als"
"S1"	"SAT_ABL_6_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3479"	"auto_decte_batch.als"
"S1"	"SAT_ABL_8_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3667"	"auto_decte_batch.als"
"S1"	"SAT_ABL_9_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3482"	"auto_decte_batch.als"
"S1"	"SAT_ABL_10_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"3547"	"auto_decte_batch.als"
"S1"	"SAT_P6_legal_anchor_loss"	"attack-witness"	"SAT"	"SAT"	"PASS"	"3153"	"auto_decte_batch.als"
"S1"	"SAT_P6_legal_anchor_replacement"	"attack-witness"	"SAT"	"SAT"	"PASS"	"3256"	"auto_decte_batch.als"
"S1"	"SAT_P6_legal_source_version_duplicate"	"attack-witness"	"SAT"	"SAT"	"PASS"	"3339"	"auto_decte_batch.als"
"S2"	"StateInvariantPreserved"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"14062"	"auto_decte_batch_s2.als"
"S2"	"P0NoMachineAuthoritativeWrite"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"3222"	"auto_decte_batch_s2.als"
"S2"	"P1ExactContext"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"5068"	"auto_decte_batch_s2.als"
"S2"	"P3AuthorizationIntegrity"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"4288"	"auto_decte_batch_s2.als"
"S2"	"P4Freshness"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"3528"	"auto_decte_batch_s2.als"
"S2"	"P5TransitionBijection"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"3304"	"auto_decte_batch_s2.als"
"S2"	"FullNoPartialItemEffects"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"5229"	"auto_decte_batch_s2.als"
"S2"	"RejectionHasNoEffect"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"3148"	"auto_decte_batch_s2.als"
"S2"	"SingletonContractEquivalence"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"4043"	"auto_decte_batch_s2.als"
"S2"	"SingletonEffectEquivalence"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"5516"	"auto_decte_batch_s2.als"
"S2"	"FullRejectsAblatedAttempt"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"8903"	"auto_decte_batch_s2.als"
"S2"	"P6MissingAnchorIncomplete"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"3322"	"auto_decte_batch_s2.als"
"S2"	"P6DuplicateSourceVersionIncomplete"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"3680"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_accept_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"4883"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_correction_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"5026"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_mixed_accept_correction"	"legal-witness"	"SAT"	"SAT"	"PASS"	"5133"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_same_value_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"5008"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_initial_snapshot"	"legal-witness"	"SAT"	"SAT"	"PASS"	"4669"	"auto_decte_batch_s2.als"
"S2"	"SAT_BATCH_singleton"	"legal-witness"	"SAT"	"SAT"	"PASS"	"4160"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_1_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"5254"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_2a_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"5133"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_2b_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"5227"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_3_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"5180"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_4a_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"5669"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_4b_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"5347"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_5_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"5016"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_6_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"5258"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_8_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"5047"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_9_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"5551"	"auto_decte_batch_s2.als"
"S2"	"SAT_ABL_10_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"5592"	"auto_decte_batch_s2.als"
"S2"	"SAT_P6_legal_anchor_loss"	"attack-witness"	"SAT"	"SAT"	"PASS"	"4561"	"auto_decte_batch_s2.als"
"S2"	"SAT_P6_legal_anchor_replacement"	"attack-witness"	"SAT"	"SAT"	"PASS"	"4529"	"auto_decte_batch_s2.als"
"S2"	"SAT_P6_legal_source_version_duplicate"	"attack-witness"	"SAT"	"SAT"	"PASS"	"4667"	"auto_decte_batch_s2.als"
