case_id,endpoint,run_id,scenario_id,prompt_variant_id,repetition,model_config_id,human_label,rationale,uncertainty_note,historical_label,v1_label,v1_rule,v2_label,v2_rule,v2_changed
A001,stale,779aa61e84bde1c5bdcf3e1e06e57b4930d68f41f7466e710346dd525e3d4755,B4,V2,1,G1,1,"""current version 1 vs expected 0.“指出版本不同",,1,1,stale term,1,retained v1 rule hit,0
A002,stale,4f4af3e87d86270edf306488cd915e93edfdc611947107fd3acdae7bdb53fd1d,B4,V1,1,G1,1,"""Version mismatch: current `1`, expected `0`”指出版本不匹配",,1,1,stale term,1,retained v1 rule hit,0
A003,stale,d3a1c8082e6fe3466118eca41d2a9699187a11339d6a24611da62d2212c50d01,B4,V1,2,G1,1,"""Version mismatch: current `1`, expected `0`”指出版本不匹配",,1,1,stale term,1,retained v1 rule hit,0
A004,stale,7eca0c6f5550b5cecb2fc3c1bb54f37817b6cb367b87b98edb15966ffeef5fd8,B4,V1,10,G1,1,“Current fact version: `1`; expected: `0`”说明当前版本不一致,,1,1,stale term,1,retained v1 rule hit,0
A005,stale,db2239ebb999c1a972dd5ada9bfb153883c1b8469a3e872c6af34303b7952963,B4,V1,3,G2,1,"“expected_fact_version: 0`, current: `1”说明当前版本不一致",,1,1,stale term,1,retained v1 rule hit,0
A006,context,92de0ebc6c4b6f2e0bde4f8099fccf866ace63b06163d8a7d54347c9b0f563e7,A2,V1,9,G2,1,"“Record identity mismatch: certificate belongs to `FORM-DSH-2`, while intended record is `FORM-DSH-1`.”说明证书所属记录和目标不匹配",,1,1,explicit identity mismatch,1,explicit non-match,0
A007,stale,cd053854b399fed6da8e58e6df39b25e7cc30f82211b58360625dc66307e26a9,A6,V3,4,G1,1,"“- Expected/pre-version: `0`
- Current fact version: `1`”指出版本不一致",,1,1,stale term,1,retained v1 rule hit,0
A008,context,60aea1d54f4c35cc243c8954005b48a6ed9cc2f882d31d19256d1a7ace863620,A3,V3,3,G2,0,"“- Certificate field: `batch_code`
- Intended matching field: `FIELD-BENCH-BATCH` (`batch_code`)”证书字段和目标其实属于同一字段",,0,0,no affirmative context comparison,0,retained v1 rule miss,0
A009,context,7c37a95c5f0536c6243ef040c76caa784f0612c920111ae62ea34e9e36d487e6,A3,V1,4,D1,0,"""This matches the intended field FIELD-BENCH-BATCH ... — field identity matches.""
""Therefore the certificate's field identity matches the intended field.""挑战证书属于 batch_code 字段，而它的证书ID恰好匹配预期字段 FIELD-BENCH-BATCH 的父证书ID，因此是匹配的",,0,1,context synonym,1,explicit non-match,0
A010,stale,08528a2bb10cb30202f048d606cfa3ab360c512b2eeaa51daf517ead6c00e0af,A6,V2,7,G1,1,”Expected pre-version: `0`; current fact version: `1`“说明两个版本不一致，the parent certificate is stale说明有陈旧,,1,1,stale term,1,retained v1 rule hit,0
A011,context,c33a307f7b4960d4502d4e3f02556628e92ee9319d21c4f2b88343fd7883fb64,A3,V2,6,G2,0,“Matches intended `batch_code` field ”指出匹配预期的目标字段,,0,1,context synonym,1,explicit non-match,0
A012,context,78f0231626e5bd833e7fb9726e61e21b17583be7ba5a30c5734ccb50f8725f43,A3,V1,3,D1,0,“Conclusion: Match.”明确否认了不匹配,,1,0,no affirmative context comparison,0,denied context mismatch,0
A013,stale,d3f0b70680fe6268baff3192db2b1acafa51427c0c26b2e86a05139999d2ff99,B4,V3,8,G1,1,“Expected version: 0; current version: 1”说明版本不同，陈旧,,1,1,stale term,1,retained v1 rule hit,0
A014,stale,36407d5315a0dc6862cee042eea4fb87a3821c03cbbb7cf2402208ad8431b79a,B4,V3,6,D1,0,“ aligned at fact version 1 (expected 1 = current 1)”版本一致,,1,1,stale term,1,retained v1 rule hit,0
A015,context,3084200042f81b89a8abeefad1a741568ce5a5483eb08333eec693a15eee8edf,A2,V1,8,G2,1,“Record identity does **not** match the intended record”证书记录和目标记录,,0,1,explicit form-identifier contrast,1,retained v1 rule hit,0
A016,stale,57fcc9553cb6fb2564942dcb47b6a2cb273fccd0744e3a14665c749beaa64c80,B4,V1,6,D1,1,“expected_fact_version: 0` vs `current: 1”预期和当前版本不一致，证书陈旧,,1,1,stale term,1,retained v1 rule hit,0
