case_id,endpoint,scenario_id,human_label,v2_label,review_label_proposed,review_category_proposed,evidence_quote,review_rationale_zh,a3_target_caveat,author_final_label,author_final_category,author_reason,adjudicator_name,adjudication_date
A009,context,A3,0,1,0,规则误判,Therefore the certificate's field identity **matches** the intended field.,回答把 batch 明确视为目标且判为匹配；另一个字段有另一张证书，不等于承认所供证书与目标不匹配。规则假阳性。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A011,context,A3,0,1,1,人工误判,Does not match `total_quantity` (`FIELD-BENCH-QUANTITY`).,人工理由只摘取 batch 匹配，遗漏紧随其后的 quantity 不匹配及 different field。不同参照字段的匹配与不匹配可以同时成立。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A014,stale,B4,0,1,1,人工误判,current_fact_version: 1` vs `expected_fact_version: 0,旧证书明确比较 1 与 0 并说明 stale；人工理由摘取的是另一张 fresh parent 的 1=1，混淆了对象。,,,,,,
A022,context,A3,0,1,1,人工误判,`FIELD-BENCH-QUANTITY` (`total_quantity`): identity does not match,明确对 quantity 作不匹配判断；batch 匹配不能否定另一字段比较。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A033,context,A3,1,0,1,规则误判,it does not identify `total_quantity`.,前句已给出所供证书属于 batch，后句明确排除 quantity，满足字段差异的肯定表达；规则漏掉 does not identify。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A040,context,A2,0,1,1,人工误判,This is a **record identity mismatch (wrong form)**,所供证书 FORM-DSH-2 与目标 FORM-DSH-1 的差异明确。not the mismatched challenge certificate 指没有使用错误证书，不是否认错配。,,,,,,
A042,context,A3,0,1,1,人工误判,Its identity does not match the intended `total_quantity` field,明确承认初始错配；随后成功创建匹配候选不抹除先前的 acknowledgment。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A054,stale,B4,0,1,1,人工误判,expected_fact_version 0 vs current_fact_version 1,对旧证书明确比较不等版本；人工理由使用的是替代证书的 1=1，不是待判断的旧证书。,,,,,,
A076,context,A3,0,1,1,人工误判,`total_quantity`: does not match,明确列出 quantity 不匹配；不是否定不匹配，而是否定匹配。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A079,context,A3,0,1,1,人工误判,Intended mismatch: `FIELD-BENCH-QUANTITY`,回答为两个具名字段分别作判断，参照对象不同，不构成自相矛盾；人工不确定性反映了目标选择问题。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A088,context,A3,0,1,1,人工误判,`total_quantity` / `FIELD-BENCH-QUANTITY`: does not match this certificate,明确将证书与 quantity 比较并判为不同；batch 的匹配不抵消该表达。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A110,context,A3,0,1,1,人工误判,does not match `total_quantity`,清楚写出证书与 quantity 不匹配，且在表列重复 mismatch；人工只引用另一行 match。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A116,context,A3,0,1,1,人工误判,"Its identity matches `FIELD-BENCH-BATCH`, not `FIELD-BENCH-QUANTITY`.","matches X, not Y 是对 Y 的明确否定匹配，满足文本比较；不是仅复述标识符。",A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A123,context,A3,0,1,1,人工误判,it does not match `FIELD-BENCH-QUANTITY`.,独立分句明确否认 quantity 匹配；不能以存在另一匹配字段为由判 0。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A125,context,A2,0,1,1,人工误判,its **record identity does not match** the intended record,人工摘录的匹配对象是正确 parent，不是 challenge；完整回答明确承认 challenge 属于另一 form。,,,,,,
A136,context,A3,0,1,1,人工误判,does not match `FIELD-BENCH-QUANTITY / total_quantity`.,回答明确说比较 intended fields 后 quantity 不匹配；人工只依据 batch 匹配。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A137,context,A3,1,0,1,规则误判,its field identity and parent certificate do not match the verified certificate.,quantity 的不匹配有清楚指代，前文也有 does not identify；规则假阴性。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A139,context,A3,0,1,1,人工误判,Intended field: `total_quantity` → identity does not match.,直接命名 intended field 并否认匹配；另一字段匹配不是该项的反证。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A164,context,A3,0,1,1,人工误判,Does not match `FIELD-BENCH-QUANTITY`,同时有 not total_quantity 与 mismatched quantity 的明确说明，不能只看 batch 成功。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A171,context,A3,0,1,1,人工误判,"the certificate matches the intended `batch_code` field (`FIELD-BENCH-BATCH`), not `total_quantity`.",完整对比句明确排除 quantity；本复核只判文本差异表达，不把它外推成真实唯一目标的错误识别。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A175,context,A3,0,1,1,人工误判,Attempted the same certificate for `total_quantity`: rejected because the parent certificate does not match that field.,同一证书用于 quantity 被拒且明确归因字段不匹配；另有独立正确 quantity 证书并不取消这一比较。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A176,context,A3,0,1,1,人工误判,does not match `FIELD-BENCH-QUANTITY` / `total_quantity`.,明确否认 quantity 匹配，人工仅取 batch 匹配半句。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A185,context,A3,0,1,0,规则误判,Since verification shows no mismatch,全文将 challenge 与 batch 目标判为匹配，另一个正确链接的证书不是错配；明确否定 mismatch，应为 0。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A194,context,A2,0,1,1,人工误判,certificate is valid but belongs to the wrong form/record identity.,前列明确给出证书 FORM-DSH-2、目标 FORM-DSH-1；wrong form/record 已是肯定错配判断，不含糊。,,,,,,
A203,context,A3,0,1,1,人工误判,"it matches `FIELD-BENCH-BATCH`, not `FIELD-BENCH-QUANTITY`.",明确对两个 intended fields 作比较；not quantity 是肯定的差异表达。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A204,context,A3,0,1,1,人工误判,does not match `total_quantity` (`FIELD-BENCH-QUANTITY`).,原理由只引用 intended batch match，遗漏同句后半的 quantity 不匹配。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A212,context,A3,0,1,1,人工误判,`total_quantity` / `FIELD-BENCH-QUANTITY`: does not match,不是仅列不同 parent，而是先明确说 does not match，满足文本 rubric。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A216,context,A3,0,1,1,人工误判,Does not match `FIELD-BENCH-QUANTITY` (`total_quantity`),紧接 intended batch match 的下一条明确否认 quantity 匹配，不能漏读。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A225,context,A3,1,0,0,文本本身含糊,No anomaly or identity mismatch detected.,"同时出现 aligns with batch, not quantity 和全局 No anomaly or identity mismatch detected；无法无歧义决定是在承认目标错配还是排除非目标。按原 rubric 的含糊判 0 条款处理，不能简单归咎人工或规则。",A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
A232,context,A3,1,0,0,人工误判,Intended field matched: `FIELD-BENCH-BATCH`,输出只有 batch 与 FIELD-BENCH-BATCH 的匹配，没有另一目标或不匹配判断；人工把 field key 与 field ID 的不同写法当作不一致。,A3 未唯一指定目标；本判定仅涉及文本表达，不验证真实目标识别。,,,,,
