metric,run_id,scenario_id,prompt_variant_id,repetition,model_config_id,old_label,v1_label,v1_rule,v2_label,v2_rule,changed
context,dd97c22625e231c8e45bf123b13d40d4f03123671a7879a9ad8a8169dba52f50,A3,V1,10,G1,False,False,no affirmative context comparison,True,matches-but-not contrast,True
context,7930232f181a175413a2b56f8494bce9a1ff93515642fd50b5f7d2b856d41ec6,A3,V2,9,G1,False,False,no affirmative context comparison,True,matches-but-not contrast,True
context,44081f9af8bf84fef3634adb71095cc9184a2d67d03a838aa69277ab4734854e,A3,V3,3,G1,False,False,no affirmative context comparison,True,matches-but-not contrast,True
context,9ecd72575d84a39b396a7cb91dfcb9f4829a54ef48555f58da2a675b054da1b6,A3,V3,9,G1,False,False,no affirmative context comparison,True,matches-but-not contrast,True
context,061cd63333c143e28d3b4ac44046c6ef5bd73b1849714993121013c41b7d5906,A3,V1,1,G2,False,False,no affirmative context comparison,True,matches-but-not contrast,True
context,7c5e72e9f561f3006859be37330d29dbd1c9befef780a50574eb0d2da5aba757,A3,V1,6,G2,False,False,no affirmative context comparison,True,matches-but-not contrast,True
context,b72d45efa96fe860c4cb2d775c5ffbd0826d395f75eeeedab942f53dc0ada77a,A3,V2,7,G2,False,False,no affirmative context comparison,True,explicit non-match,True
context,b420dc306a8bfa91e9c931a116c1eb9a3959fd42a67a7609f51c315e4d3af663,A3,V3,5,G2,False,False,no affirmative context comparison,True,matches-but-not contrast,True
context,ddfa366bd0c16dc79bcc71486cc1792ef7e8d794aa00b5d9fe23c7a8ddd7a873,A3,V2,3,D1,True,True,cross-context term,False,denied context mismatch,True
context,6701d52a9a278e3cff591c9696292fce8f85c168f508b8c3ffcc059024001c67,A3,V3,2,D1,True,True,cross-context term,False,denied context mismatch,True
context,73bddcc56095bc06e6ce02a25132f0dfc36e79df71dc89c1f60f79ec33b7ddcd,A3,V3,4,D1,True,True,field-value identity contrast,False,denied context mismatch,True
