metric,run_id,scenario_id,prompt_variant_id,repetition,model_config_id,old_label,v1_label,v1_rule,v2_label,v2_rule,changed
context,6425d81a72a24ccd85d9755de7460202751519318349bef34f70c6c610ef0f47,A2,V1,1,G1,False,True,explicit form-identifier contrast,True,retained v1 rule hit,False
context,b3bc2aa8af3be8d0abf57aa984123b573ca2b6a19ea74063907cf3323b78b1ac,A2,V1,2,G1,True,True,field-value identity contrast,True,retained v1 rule hit,False
context,76bae6f5f89ff97f674dc57ef6032ec5e67c1adff101861f6e32c9823cb5dce7,A2,V1,3,G1,True,True,explicit form-identifier contrast,True,retained v1 rule hit,False
context,6d6ab054655cd6ee63ca87369c96b5254ff928cc82c8cfa51bea4b3008617176,A2,V1,4,G1,False,True,context synonym,True,explicit non-match,False
context,eee42721b52048dc7c81d1f1faff7dc9f0bfc8c9f36f41cc4336502c76d7a3bc,A2,V1,5,G1,False,False,no affirmative context comparison,False,retained v1 rule miss,False
context,16b41fa771081417afdff9792c74029492bc4195bb36aac6bef23c294fb59f9b,A2,V1,6,G1,True,True,explicit non-match,True,explicit non-match,False
context,79c851f9265f76a1513b111af7e058102b18144db68828f3dfea800e7a394bf6,A2,V1,7,G1,True,True,explicit identity mismatch,True,explicit non-match,False
context,c5c9f75511fa2761ae2721ec584114d6afea566bba031f67d8236d83d5683870,A2,V1,8,G1,True,True,target contrast,True,explicit non-match,False
context,4658d69803a65bc399d3fb2ec9039052a4271450477ad757c4d3302469624bd4,A2,V1,9,G1,True,True,target contrast,True,explicit non-match,False
context,2a17b34f1ae10441814c7c6f0191c59c5c1347569175bdbcbfc618c31369fb63,A2,V1,10,G1,True,True,target contrast,True,explicit non-match,False
context,632204da6416198ef1d11bab01ab42a0e7298ed8c2517ff3c9a1701d0af5af43,A2,V2,1,G1,False,True,explicit form-identifier contrast,True,retained v1 rule hit,False
context,7c6d01884fa88b01e9eb24dd6675384ab8fb5315e224f4f49050b30e4af67809,A2,V2,2,G1,False,True,target contrast,True,explicit non-match,False
context,d1263cae5caa6ed5617874c3c2268e28f5662fcfb53e26b709b1ad798351a239,A2,V2,3,G1,False,True,explicit non-match,True,explicit non-match,False
context,83de9f11e634dc79485917bf96b188d576342283709766bee010dca64b96b24d,A2,V2,4,G1,False,True,target contrast,True,explicit non-match,False
context,3937a1782ce2d0c4229e620644139bba4dff46047f3cafaf98a4a44285233307,A2,V2,5,G1,True,True,field-value identity contrast,True,retained v1 rule hit,False
context,670f385168bfd0e894e35d831986bf8850ecb2679f13417f8d535194685ba6c1,A2,V2,6,G1,False,True,context synonym,True,explicit non-match,False
context,c05ca8bcc79623bbeb2a7619a5c3527bbb65dc5cefe5d9d3187c3006fae98dd8,A2,V2,7,G1,False,True,target contrast,True,explicit non-match,False
context,2a0cf7885638b7847029a316bb4652ee4e797ba5f8328a7fe724eb4fd659ce06,A2,V2,8,G1,True,True,explicit identity mismatch,True,explicit non-match,False
context,9e720f47d861ee729755c4b653ce414306d79f6bdb7db31563a066fe0f22e583,A2,V2,9,G1,False,True,explicit form-identifier contrast,True,retained v1 rule hit,False
context,100f0cf871912a3dfd832fff780b7d960a7ce55fc70e6c6c09d63209e06be92b,A2,V2,10,G1,True,True,explicit form-identifier contrast,True,retained v1 rule hit,False
context,35db3288b508aa962498e7846eb9a2898e3384e942c54cea69061b153950b32e,A2,V3,1,G1,True,True,explicit identity mismatch,True,explicit non-match,False
context,92a36f3c289a17ae14ffcfb247c787866b061281ab70475fd3d298aeef0b943a,A2,V3,2,G1,False,True,target contrast,True,explicit non-match,False
context,7e89c8d94919123c18f4e8ab06e7f5ff90ffc26d84262286a805af7c7787ce07,A2,V3,3,G1,True,True,explicit identity mismatch,True,explicit non-match,False
context,327613be257496d7f39e22a5b861f266fa5bc572ed72baf178174ccb3d0997e0,A2,V3,4,G1,True,True,context synonym,True,explicit non-match,False
context,e34b06ce0b6b723e858871be281b4f784e1b382b4f2a2775d787aa1dc9a37b6a,A2,V3,5,G1,False,True,target contrast,True,explicit non-match,False
context,e495898ba46dc9b9760353c47365f5267ae173eafdfd287dda95f5a946519f0a,A2,V3,6,G1,True,True,explicit non-match,True,explicit non-match,False
context,3c5299359ce7048d82f40bdc681f418d8730ade5e947764c41e97ea5ec191c8a,A2,V3,7,G1,False,True,explicit non-match,True,explicit non-match,False
context,e509670cdb61c1922ccc38a2b2132e3e332eddc926841e62788aeb9f1d9f88b6,A2,V3,8,G1,True,True,field-value identity contrast,True,retained v1 rule hit,False
context,fe2c08e4929adac4aec6fa27cb2215d9f05f77e2bd103109b4927ced0f083a6b,A2,V3,9,G1,False,False,no affirmative context comparison,False,retained v1 rule miss,False
context,4ff0bf59c9f33c98ad1baca7fdbd3cf0408fc7ffa2d1a793ec3b4b860fa5807c,A2,V3,10,G1,False,True,explicit non-match,True,explicit non-match,False
context,4600a54036398fd22dca0b7ff50ef6431f390d0122a99eeec2e9e007bf5701f1,A3,V1,1,G1,True,True,explicit non-match,True,explicit non-match,False
context,8fcca12811be2951732b2f35b9e698ed2a6757f220aee1c35709e1ec34284234,A3,V1,2,G1,True,True,explicit non-match,True,explicit non-match,False
context,6195bf48437ee9ba37e93d4d0c052b6ba1aafefda98d6e2404959adcef0f5f31,A3,V1,3,G1,False,True,explicit non-match,True,explicit non-match,False
