case_id,adjudicated_label,source,scenario_id,model_config_id,rule_label
T001,1,consensus,B4,G2,
T002,1,consensus,B2,D1,1
T003,1,consensus,B1,D1,1
T004,1,consensus,B2,D1,1
T005,1,consensus,B3,G1,1
T006,1,consensus,B4,G1,1
T007,1,consensus,B1,D1,1
T008,1,consensus,B4,D1,1
T009,1,consensus,B4,D1,1
T010,1,consensus,B1,G2,1
T011,1,consensus,B1,G2,1
T012,1,consensus,B4,G1,1
T013,1,consensus,B4,G2,1
T014,0,adjudicated,B2,G2,0
T015,1,consensus,B4,G2,1
T016,1,consensus,B4,G2,1
T017,1,consensus,B3,G1,1
T018,9,consensus,B1,D1,
T019,1,consensus,B1,G1,1
T020,1,consensus,B4,D1,1
T021,1,consensus,B1,G2,1
T022,1,consensus,B1,G1,1
T023,1,consensus,B4,D1,1
T024,1,consensus,B3,G1,1
T025,1,consensus,B3,G2,1
T026,1,consensus,B2,D1,1
T027,1,consensus,B3,G1,1
T028,1,consensus,B2,G2,1
T029,1,consensus,B3,D1,1
T030,1,consensus,B3,G2,1
T031,1,consensus,B2,G1,1
T032,1,consensus,B1,D1,1
T033,1,consensus,B1,D1,1
T034,1,consensus,B4,G2,1
T035,1,consensus,B4,D1,1
T036,1,consensus,B1,D1,1
T037,1,consensus,B2,D1,1
T038,9,consensus,B3,D1,
T039,1,consensus,B1,G1,1
T040,1,consensus,B1,G1,1
T041,1,consensus,B3,D1,1
T042,1,consensus,B1,G2,1
T043,1,consensus,B3,D1,1
T044,1,consensus,B4,G1,1
T045,1,consensus,B3,G2,1
T046,1,consensus,B2,D1,1
T047,1,consensus,B3,D1,1
T048,1,consensus,B1,G1,1
T049,1,consensus,B1,G2,1
T050,1,consensus,B4,G2,1
T051,1,consensus,B2,G2,1
T052,1,consensus,B3,G1,1
T053,1,consensus,B2,D1,1
T054,1,consensus,B2,G2,
T055,1,consensus,B1,G1,1
T056,1,consensus,B3,G2,
T057,1,consensus,B2,G1,1
T058,1,consensus,B4,G2,1
T059,1,consensus,B4,G1,1
T060,1,consensus,B3,G1,1
T061,0,adjudicated,B1,G2,0
T062,1,consensus,B3,G1,1
T063,1,consensus,B3,G2,1
T064,1,consensus,B1,G2,1
T065,1,consensus,B3,G1,1
T066,1,consensus,B1,D1,1
T067,1,consensus,B3,D1,1
T068,1,consensus,B2,G2,1
T069,1,consensus,B3,D1,1
T070,1,consensus,B2,G2,
T071,1,consensus,B2,G2,1
T072,1,consensus,B3,D1,1
T073,1,consensus,B3,G1,1
T074,1,consensus,B4,G2,1
T075,1,consensus,B2,D1,1
T076,1,consensus,B4,G2,1
T077,1,consensus,B2,G2,1
T078,1,consensus,B1,D1,1
T079,1,consensus,B2,G1,1
T080,9,consensus,B4,D1,
T081,1,consensus,B2,G1,1
T082,1,consensus,B4,G2,1
T083,1,consensus,B1,D1,1
T084,1,consensus,B4,G2,1
T085,1,consensus,B2,D1,1
T086,1,consensus,B2,G2,1
T087,1,consensus,B1,G1,1
T088,1,consensus,B2,G2,1
T089,1,consensus,B4,G1,1
T090,1,consensus,B4,D1,1
T091,1,consensus,B4,G1,1
T092,1,consensus,B3,G1,1
T093,1,consensus,B1,D1,1
T094,1,consensus,B1,G2,1
T095,1,consensus,B1,D1,1
T096,1,consensus,B4,G1,1
T097,1,consensus,B3,G2,1
T098,1,consensus,B4,G2,1
T099,1,consensus,B4,G2,1
T100,9,consensus,B2,G2,
T101,1,consensus,B3,G2,1
T102,1,consensus,B1,G1,1
